'id_waktu';'id_lokasi';'id_unit_ternak';'jenis_kelamin';'tipe_ternak';'tipe_usia';'jumlah_lahir';'jumlah_mati';'jumlah_masuk';'jumlah_keluar';'jumlah';'created_dt';'modified_dt'
1831;47485;999;'';'';'';;;;;995;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47485;999;'';'';'';;;;;1231;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47499;999;'';'';'';;;;;286;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47499;999;'';'';'';;;;;1554;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47499;999;'';'';'';;;;;3540;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47499;999;'';'';'';;;;;1788;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47499;999;'';'';'';;;;;2694;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47520;999;'';'';'';;;;;656;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47520;999;'';'';'';;;;;742;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47520;999;'';'';'';;;;;763;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47520;999;'';'';'';;;;;801;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47520;999;'';'';'';;;;;653;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47538;999;'';'';'';;;;;2372;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47538;999;'';'';'';;;;;3144;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47538;999;'';'';'';;;;;3048;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47538;999;'';'';'';;;;;2969;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47538;999;'';'';'';;;;;1865;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47557;999;'';'';'';;;;;776;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47557;999;'';'';'';;;;;853;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47557;999;'';'';'';;;;;791;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1831;47557;999;'';'';'';;;;;1120;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1830;47557;999;'';'';'';;;;;952;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1840;47588;999;'';'';'';;;;;942;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1827;47588;999;'';'';'';;;;;1573;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
1828;47588;999;'';'';'';;;;;1811;2024-02-28 14:30:54.591 +0700;2024-02-28 14:30:54.591 +0700
